datetime,num_feature_1,num_feature_2,num_feature_3,num_feature_4,num_feature_5,num_feature_6,num_feature_7,num_feature_8,num_feature_9,num_feature_10,cat_feature_1,cat_feature_2,cat_feature_3
1/1/23 0:00,0.4967141530112327,0.029430591677552183,-0.567378726,1.3163448375195195,0.9818256871812023,0.24552817205616823,-0.295665612,0.587933258,-1.207988823,-0.362931106,A,X,C
1/1/23 0:10,-0.138264301,0.5166444459359673,-0.36238454,-2.908660744,0.9996862343948505,0.558558153,0.38356713170706486,-0.179219932,-1.071734726,-0.673646659,B,Z,C
1/1/23 0:20,0.6476885381006925,-0.981325937,0.099534002,-1.222750279,0.040973772,0.5906880448441909,1.039632329301116,0.9628750112612935,0.37912190446937244,-1.458926455,C,X,A
1/1/23 0:30,1.5230298564080254,-1.404816944,0.2180301243425409,-0.915632296,0.2083943670805079,-1.4089843,-1.036512631,-1.255305309,1.0525023654355217,-2.70470452,C,Z,B
1/1/23 0:40,-0.234153375,0.10720796204013365,0.4349591861740992,-0.819715023,-1.429765552,0.8240865805442636,1.0109095653427445,-0.535573009,1.0371413599141255,-1.826844466,C,X,B
1/1/23 0:50,-0.234136957,-0.318846355,-0.439359884,0.3362629511858955,-0.547286163,0.30315382837627336,0.617685613,0.6628466931957535,-1.002908841,1.099029933,C,Z,B
1/1/23 1:00,1.5792128155073915,0.6264346724539442,0.5292911325047989,0.29003780305390187,-0.612180062,-0.635261385,-0.507789491,0.5815713240422098,0.9893114319002247,-0.008218901,B,X,B
1/1/23 1:10,0.7674347291529088,-0.079908453,0.45023723475834404,0.3939905721750079,-0.449004933,-0.749666951,-1.086711896,0.5999468057192451,-1.776269634,0.8355389162540695,A,X,A
1/1/23 1:20,-0.469474386,0.2050753392346299,-0.395092757,0.596081494,0.8721741337044586,-0.334053082,0.11623271729256779,1.409242104488149,-0.202884417,-0.582513596,C,Z,C
1/1/23 1:30,0.5425600435859647,-1.62338253,-1.719491022,-0.950104569,1.2817046637016662,-1.298741687,-1.059588484,-1.733717315,0.48702644260865274,-0.09833566,A,X,C
